,country,cost_index,monthly_income,purchasing_power_index
0,Bermuda,157.6,9712,105.0
1,Switzerland,142.4,7530,90.1
2,Cayman Islands,137.9,5281,65.2
3,Israel,130.2,4130,54.1
4,Iceland,128.0,5368,71.5
5,New Caledonia,125.8,1101,14.9
6,Turks and Caicos Islands,124.6,1967,26.9
7,Norway,124.6,7008,95.9
8,Barbados,121.5,1393,19.5
9,Denmark,119.9,5676,80.6
10,Ireland,119.8,6210,88.3
11,Australia,118.0,4730,68.3
12,New Zealand,117.2,3778,54.9
13,Luxembourg,113.1,6759,101.8
14,Sweden,109.3,4908,76.5
15,Finland,108.0,4472,70.6
16,United Kingdom,107.9,3782,59.7
17,Canada,105.6,4026,64.9
18,Japan,101.9,3552,59.4
19,United States,100.0,5869,100.0
20,Netherlands,99.0,4698,80.8
21,Belgium,97.0,4209,74.0
22,France,96.2,3657,64.7
23,Austria,95.9,4351,77.3
24,Germany,92.3,4253,78.5
25,South Korea,87.0,2915,57.1
26,Italy,86.2,2976,58.8
27,Spain,82.9,2478,50.9
28,Hong Kong,77.9,4538,99.2
29,Portugal,76.4,1978,44.1
30,Malta,75.7,2547,57.3
31,Singapore,75.0,5334,121.1
32,Macao,75.0,3894,88.5
33,Greece,74.7,1678,38.3
34,Estonia,74.0,2164,49.8
35,United Arab Emirates,72.3,3284,77.3
36,Qatar,71.4,4760,113.6
37,Czechia,68.1,2006,50.2
38,Iran,67.6,281,7.1
39,China,63.2,991,26.7
40,Chile,62.9,1250,33.8
41,Croatia,60.8,1429,40.1
42,Haiti,60.1,118,3.4
43,Costa Rica,57.7,1026,30.3
44,Hungary,57.3,1478,44.0
45,Equatorial Guinea,55.9,484,14.8
46,Mexico,54.7,782,24.4
47,Albania,52.0,509,16.7
48,Ecuador,51.9,494,16.2
49,Serbia,51.2,703,23.4
50,Montenegro,51.2,775,25.8
51,Poland,51.1,1389,46.3
52,Bahrain,49.0,1661,57.7
53,Brunei,48.9,2626,91.4
54,Bulgaria,47.5,893,32.0
55,Romania,47.4,1181,42.4
56,South Africa,47.1,537,19.4
57,Brazil,46.9,643,23.4
58,Morocco,45.0,279,10.6
59,Saudi Arabia,44.5,1856,71.1
60,Mauritius,43.3,905,35.6
61,Ivory Coast,42.7,204,8.2
62,Kenya,42.3,168,6.7
63,Cameroon,41.9,133,5.4
64,Timor-Leste,41.9,162,6.6
65,Colombia,41.9,513,20.9
66,Nigeria,41.8,175,7.1
67,Kosovo,41.0,414,17.2
68,Philippines,40.9,303,12.6
69,Lesotho,39.3,106,4.6
70,Bangladesh,39.0,218,9.5
71,Malaysia,38.8,911,40.0
72,Paraguay,38.6,445,19.6
73,Moldova,38.5,455,20.1
74,Thailand,38.4,605,26.8
75,Benin,37.5,114,5.2
76,Ghana,37.3,197,9.0
77,Russia,36.9,967,44.7
78,Iraq,36.8,420,19.5
79,Cambodia,36.6,129,6.0
80,Bolivia,36.2,280,13.2
81,Nicaragua,35.8,168,8.0
82,Indonesia,35.4,345,16.6
83,Mongolia,35.3,313,15.1
84,Suriname,35.0,370,18.0
85,Vietnam,34.4,297,14.7
86,Turkey,34.4,819,40.6
87,Tanzania,34.1,95,4.7
88,Armenia,33.8,380,19.2
89,Laos,33.5,210,10.7
90,Kazakhstan,33.1,727,37.4
91,Georgia,32.2,395,20.9
92,Zambia,31.7,87,4.7
93,Tunisia,30.9,303,16.7
94,Sri Lanka,30.4,318,17.8
95,Bhutan,30.0,237,13.4
96,Ukraine,29.9,343,19.6
97,Algeria,29.9,305,17.4
98,Azerbaijan,29.8,407,23.3
99,India,28.8,181,10.7
100,Nepal,28.1,103,6.2
101,Egypt,27.2,293,18.3
102,Burma,27.0,95,6.0
103,Pakistan,25.8,125,8.3
104,Kyrgyzstan,25.3,98,6.6
105,Angola,23.0,148,10.9
106,Tajikistan,22.8,96,7.2
